Fecha,Clics,Impresiones,CTR,Posición
2025-12-06,0,0,,
2025-12-07,0,2,0%,16
2025-12-08,0,1,0%,15
2025-12-09,2,10,20%,7.2
2025-12-10,1,9,11.11%,3.6
2025-12-11,1,15,6.67%,5.5
2025-12-12,0,3,0%,8.7
2025-12-13,0,0,,
2025-12-14,1,6,16.67%,4.7
2025-12-15,0,3,0%,16.3
2025-12-16,1,23,4.35%,3.4
2025-12-17,2,8,25%,3.5
2025-12-18,0,6,0%,27
2025-12-19,0,3,0%,6.7
2025-12-20,0,0,,
2025-12-21,0,2,0%,47
2025-12-22,2,10,20%,3.4
2025-12-23,1,9,11.11%,26.1
2025-12-24,0,10,0%,33.5
2025-12-25,0,2,0%,28
2025-12-26,0,4,0%,9
2025-12-27,0,3,0%,22.3
2025-12-28,0,4,0%,43.8
2025-12-29,0,8,0%,10.6
2025-12-30,0,12,0%,28.3
2025-12-31,0,7,0%,18.7
2026-01-01,0,8,0%,8
2026-01-02,0,3,0%,14.7
2026-01-03,0,1,0%,11
2026-01-04,0,2,0%,15.5
2026-01-05,0,14,0%,10.1
2026-01-06,0,6,0%,4.2
2026-01-07,0,6,0%,4.3
2026-01-08,0,2,0%,8
2026-01-09,0,0,,
2026-01-10,0,0,,
2026-01-11,0,0,,
2026-01-12,0,8,0%,5.4
2026-01-13,1,49,2.04%,6.2
2026-01-14,1,45,2.22%,6.2
2026-01-15,2,25,8%,11.1
2026-01-16,0,22,0%,6.6
2026-01-17,0,45,0%,6.2
2026-01-18,0,24,0%,6
2026-01-19,2,22,9.09%,8
2026-01-20,0,36,0%,7
2026-01-21,0,58,0%,7.3
2026-01-22,3,60,5%,10
2026-01-23,0,48,0%,6.9
2026-01-24,0,32,0%,11.5
2026-01-25,0,30,0%,9.5
2026-01-26,3,40,7.5%,10.7
2026-01-27,9,67,13.43%,9.3
2026-01-28,1,32,3.12%,9.5
2026-01-29,1,58,1.72%,8.5
2026-01-30,0,39,0%,8.8
2026-01-31,2,41,4.88%,12.1
2026-02-01,0,52,0%,8.2
2026-02-02,2,55,3.64%,8.9
2026-02-03,2,26,7.69%,7.4
2026-02-04,1,18,5.56%,8.4
2026-02-05,1,57,1.75%,14.3
2026-02-06,2,43,4.65%,11.1
2026-02-07,0,35,0%,10.5
2026-02-08,0,20,0%,14.6
2026-02-09,1,46,2.17%,9.1
2026-02-10,0,48,0%,10
2026-02-11,0,46,0%,9.4
2026-02-12,2,80,2.5%,15.9
2026-02-13,0,52,0%,9.1
2026-02-14,3,40,7.5%,8.5
2026-02-15,0,38,0%,9.9
2026-02-16,1,89,1.12%,7.4
2026-02-17,0,77,0%,8.2
2026-02-18,2,88,2.27%,9.2
2026-02-19,2,76,2.63%,11.1
2026-02-20,0,58,0%,9.7
2026-02-21,1,66,1.52%,8.2
2026-02-22,1,42,2.38%,8.2
2026-02-23,2,68,2.94%,6.8
2026-02-24,2,51,3.92%,7.8
2026-02-25,0,61,0%,7.8
2026-02-26,2,80,2.5%,13.6
2026-02-27,0,81,0%,9.5
2026-02-28,1,53,1.89%,8.8
2026-03-01,0,28,0%,13.8
2026-03-02,3,74,4.05%,9.8
2026-03-03,3,85,3.53%,9.5
2026-03-04,3,85,3.53%,9.9
2026-03-05,2,59,3.39%,12.9
2026-03-06,7,101,6.93%,7.7
2026-03-07,1,69,1.45%,9.8
2026-03-08,1,41,2.44%,12.6
2026-03-09,5,90,5.56%,7.4
2026-03-10,5,75,6.67%,9.5
2026-03-11,0,68,0%,9.9
2026-03-12,3,85,3.53%,7.4
2026-03-13,2,78,2.56%,11.3
2026-03-14,2,69,2.9%,9.8
2026-03-15,3,68,4.41%,15.2
2026-03-16,5,78,6.41%,8.9
2026-03-17,1,85,1.18%,10.2
2026-03-18,1,70,1.43%,8.7
2026-03-19,4,56,7.14%,9.3
2026-03-20,2,70,2.86%,10.2
2026-03-21,2,52,3.85%,9
2026-03-22,3,46,6.52%,8.5
2026-03-23,1,58,1.72%,10.9
2026-03-24,2,72,2.78%,6.8
2026-03-25,2,59,3.39%,6.7
2026-03-26,1,70,1.43%,7.7
2026-03-27,3,61,4.92%,8.3
