Páginas principales,Clics,Impresiones,CTR,Posición
https://pediatraenbogota.com/pediatra-soacha-bosa,107,1304,8.21%,6.3
https://pediatraenbogota.com/pediatra-en-facatativa-madrid,76,1618,4.7%,6.47
https://pediatraenbogota.com/,57,1602,3.56%,13.91
https://pediatraenbogota.com/pediatra-particular-kennedy,46,486,9.47%,7.29
https://pediatraenbogota.com/pediatra-particular-kennedy.html,36,527,6.83%,5.79
https://pediatraenbogota.com/pediatra-a-domicilio-bogota,27,2008,1.34%,15.38
https://pediatraenbogota.com/pediatra-en-facatativa-madrid.html,27,804,3.36%,7.04
https://pediatraenbogota.com/pediatra-a-domicilio-bogota.html,20,1594,1.25%,12.31
https://pediatraenbogota.com/pediatra-fontibon-hayuelos.html,20,311,6.43%,4.75
https://pediatraenbogota.com/pediatra-fontibon-hayuelos,15,283,5.3%,5.65
https://pediatraenbogota.com/pediatra-soacha-bosa.html,13,235,5.53%,4.86
https://pediatraenbogota.com/pediatra-fusagasuga-sibate.html,10,278,3.6%,6.27
https://pediatraenbogota.com/pediatra-normandia-engativa,9,267,3.37%,12.89
https://pediatraenbogota.com/pediatra-fusagasuga-sibate,8,225,3.56%,7.57
https://pediatraenbogota.com/pediatra-la-mesa-anapoima,8,72,11.11%,8.25
https://pediatraenbogota.com/pediatra-castilla-villa-alsacia.html,4,50,8%,7.82
https://pediatraenbogota.com/zonas-de-atencion-bogota,3,290,1.03%,16.78
https://pediatraenbogota.com/pediatra-girardot-melgar.html,3,85,3.53%,8.66
https://pediatraenbogota.com/pediatra-colina-campestre-mazuren.html,3,83,3.61%,7.92
https://pediatraenbogota.com/pediatra-girardot-melgar,3,43,6.98%,14.77
https://pediatraenbogota.com/pediatra-castilla-villa-alsacia,3,43,6.98%,32.12
https://pediatraenbogota.com/zonas-de-atencion-bogota.html,2,245,0.82%,11.98
https://pediatraenbogota.com/pediatra-normandia-engativa.html,2,245,0.82%,16.18
https://pediatraenbogota.com/pediatra-en-suba-pontevedra.html,2,194,1.03%,14.75
https://pediatraenbogota.com/pediatra-chapinero-quinta-paredes.html,2,118,1.69%,10.61
https://pediatraenbogota.com/pediatra-chapinero-quinta-paredes,2,73,2.74%,16.18
https://pediatraenbogota.com/pediatra-domicilio-bogota/pediatra-domicilio-suba,2,51,3.92%,32.31
https://pediatraenbogota.com/pediatra-la-felicidad.html,1,103,0.97%,6.49
https://pediatraenbogota.com/pediatra-chia-zipaquira.html,1,46,2.17%,7.35
https://pediatraenbogota.com/crecimiento-por-edades/perimetro-cefalico-bebe,1,40,2.5%,10.2
https://pediatraenbogota.com/pediatra-domicilio-bogota/pediatra-domicilio-suba.html,1,18,5.56%,6.28
https://pediatraenbogota.com/pediatra-domicilio-bogota/pediatra-domicilio-fontibon,1,10,10%,9.8
https://pediatraenbogota.com/infecciones-infantiles/,1,7,14.29%,2
https://pediatraenbogota.com/pediatra-domicilio-bogota/blog-pediatra-domicilio-bogota-consulta-en-bogota,1,6,16.67%,17.33
https://pediatraenbogota.com/vacunas-pediatricas/blog-vacunas-pediatricas-preguntas-frecuentes,1,2,50%,3
https://pediatraenbogota.com/vacunas-pediatricas/blog-vacunas-pediatricas-consulta-en-bogota,1,1,100%,8
https://pediatraenbogota.com/nutricion-infantil/loncheras-saludables,1,1,100%,10
https://pediatraenbogota.com/pediatra-virrey-santa-barbara.html,0,119,0%,6.87
https://pediatraenbogota.com/pediatra-en-suba-pontevedra,0,64,0%,16.59
https://pediatraenbogota.com/pediatra-barrios-unidos.html,0,43,0%,2.51
https://pediatraenbogota.com/pediatra-barrios-unidos,0,35,0%,45.57
https://pediatraenbogota.com/alimentacion-escolar/blog-alimentacion-escolar-preguntas-frecuentes,0,25,0%,25
https://pediatraenbogota.com/pediatra-la-felicidad,0,24,0%,23.12
https://pediatraenbogota.com/senales-alarma-pediatria/deshidratacion-signos-alarma,0,22,0%,12.09
https://pediatraenbogota.com/infecciones-infantiles/blog-infecciones-infantiles-seguimiento-pediatrico,0,18,0%,33.44
https://pediatraenbogota.com/consulta-recien-nacido/index.html,0,16,0%,7.19
https://pediatraenbogota.com/pediatra-virrey-santa-barbara,0,15,0%,7.53
https://pediatraenbogota.com/pediatra-zonas-bogota/pediatra-chapinero.html,0,14,0%,6.29
https://pediatraenbogota.com/pediatra-zonas-bogota/pediatra-usaquen,0,14,0%,10.36
https://pediatraenbogota.com/alergias-infantiles/alergia-piel-ninos,0,12,0%,52.75
https://pediatraenbogota.com/pediatria-adolescentes/blog-pediatria-adolescentes-preparar-la-cita,0,9,0%,7.33
https://pediatraenbogota.com/pediatra-zonas-bogota/pediatra-chapinero,0,9,0%,10.11
https://pediatraenbogota.com/crecimiento-por-edades/perimetro-cefalico-bebe.html,0,9,0%,16.22
https://pediatraenbogota.com/consultas-pediatricas/blog-que-datos-llevar-a-una-cita-pediatrica,0,8,0%,7.12
https://pediatraenbogota.com/alergias-infantiles/index,0,8,0%,18.62
https://pediatraenbogota.com/pediatra-online-colombia/blog-pediatra-online-colombia-cuidados-en-casa,0,8,0%,19.75
https://pediatraenbogota.com/sintomas-pediatricos/tos-persistente-ninos,0,8,0%,24.25
https://pediatraenbogota.com/salud-escolar/blog-salud-escolar-preguntas-frecuentes,0,8,0%,34.5
https://pediatraenbogota.com/pediatra-la-mesa-anapoima.html,0,7,0%,10.29
https://pediatraenbogota.com/control-crecimiento-desarrollo/curvas-crecimiento,0,7,0%,13.86
https://pediatraenbogota.com/senales-alarma-pediatria/blog-senales-de-alarma-pediatria-cuando-consultar,0,6,0%,8.17
https://pediatraenbogota.com/alimentacion-escolar/lonchera-colegio,0,5,0%,6.4
https://pediatraenbogota.com/vacunas-por-edad/reacciones-por-vacunas,0,5,0%,20.4
https://pediatraenbogota.com/prevencion-pediatrica/consulta-preventiva-virtual,0,5,0%,42.6
https://pediatraenbogota.com/pediatria-adolescentes/sueno-adolescentes,0,5,0%,43
https://pediatraenbogota.com/fiebre-pediatrica/blog-fiebre-pediatrica-cuando-consultar,0,4,0%,4.75
https://pediatraenbogota.com/pediatra-zonas-bogota/pediatra-sub,0,4,0%,5.75
https://pediatraenbogota.com/recien-nacido-en-casa/ombligo-en-casa,0,4,0%,7.25
https://pediatraenbogota.com/pediatra-zonas-bogota/pediatra-barrios-unidos,0,4,0%,8
https://pediatraenbogota.com/nutricion-infantil/nino-no-quiere-comer,0,4,0%,8.25
https://pediatraenbogota.com/vacunas-por-edad/vacunas-y-fiebre,0,4,0%,9
https://pediatraenbogota.com/lactancia-pediatrica/baja-produccion-leche,0,4,0%,12.5
https://pediatraenbogota.com/lenguaje-infantil/lenguaje-en-prematuros,0,4,0%,13.5
https://pediatraenbogota.com/enfermedades-eruptivas/sarpullido-con-fiebre,0,4,0%,16
https://pediatraenbogota.com/consulta-recien-nacido/ictericia-recien-nacido,0,4,0%,20
https://pediatraenbogota.com/salud-escolar/blog-salud-escolar-mitos-comunes,0,4,0%,24.75
https://pediatraenbogota.com/consulta-recien-nacido/asesoria-lactancia-materna,0,4,0%,28.25
https://pediatraenbogota.com/fiebre-pediatrica/fiebre-persistente,0,4,0%,33.5
https://pediatraenbogota.com/alergias-infantiles/alergia-huevo-bebe,0,4,0%,42.25
https://pediatraenbogota.com/salud-bucal-infantil/mal-aliento-ninos,0,4,0%,55.75
https://pediatraenbogota.com/pediatra-colina-campestre-mazuren,0,3,0%,4
